id,Title,"News Categories","News Redirect URL","Redirect URL","Author ID",Date
2005,"The Business Case for Natural Climate Solutions: Insights and Opportunities for Southeast Asia (Ecosperity)","Popular Media",https://www.ecosperity.sg/en/ideas/business-case-natural-climate-solutions-southeast-asia.html,,5,2020-12-08
2041,"Post #2041",,,,5,1970-01-01
2043,"Promises and Pitfalls of Conservation Technology (Festival of Ecology)",Seminars,,,5,2020-12-16
2054,"Recognising Excellence (NUS Faculty of Science Annual Report 2020)","Centre In the News",https://www.science.nus.edu.sg/wp-content/uploads/2020/12/NUS-Faculty-of-Science-Annual-Report-2020.pdf,,5,2020-12-15
2057,"Year in Review - Research (NUS Faculty of Science Annual Report 2020)","Giving News",https://www.science.nus.edu.sg/wp-content/uploads/2020/12/NUS-Faculty-of-Science-Annual-Report-2020.pdf,,5,2020-12-15
2131,"How Science Can Help Inform Policies and Decisions on Climate and Biodiversity (MEM Seminar)",Seminars,,,5,2021-01-10
2194,"Promises and Pitfalls of Nature-based Climate Solutions (ArtScience Museum)",Seminars,,,5,2021-01-12
2199,"Seminar Template",,,,6,1970-01-01
2370,"Nine New Nominated Members of Parliament to Be Appointed (Channel News Asia)",,https://www.channelnewsasia.com/news/singapore/new-nmp-nominated-members-of-parliament-13959126,,5,2021-01-14
2373,"Nine New Nominated MPs to Be Appointed from Jan 21 (The Straits Times)",,https://www.straitstimes.com/singapore/nine-new-nominated-mps-to-be-appointed-from-jan-21,,5,2021-01-14
2378,"Low Wage Workers, Sustainability and the Youth Among Issues NMP Candidates Hope to Raise in Parliament (Channel News Asia)",,https://www.channelnewsasia.com/news/singapore/low-wage-workers-sustainability-and-the-youth-among-issues-nmp-13960858,,5,2021-01-15
2385,"Conservation Scientist Prof Koh Lian Pin Appointed as Nominated Member of Parliament (NUS News)","Centre In the News|NMP",https://news.nus.edu.sg/conservation-scientist-prof-koh-lian-pin-appointed-nmp/,,5,2021-01-14
2389,"Ex-National Swimmer, Conservation Scientist, S'pore Medical Association President Among 9 New NMPs (Mothership.SG)",,https://mothership.sg/2021/01/list-of-nmps-announced/,,5,2021-01-14
2392,"Shaping the Future of Sciences (A Date with DBS!)",Seminars,https://www.dbs.nus.edu.sg/alumni/here-for-you/,,5,2021-01-15
2430,新一届九官委议员全是新面孔《联合早报》,,https://www.zaobao.com.sg/znews/singapore/story20210115-1116355,,5,2021-01-15
2432,"被越战越勇工作组视为后冠病增长引擎 医疗科技业产值可达上千亿《联合早报》",,https://www.zaobao.com.sg/znews/singapore/story20201120-1102355,,5,2020-11-20
2435,共九人受委担任国会新一届官委议员《8视界》,,https://www.8world.com/news/singapore/article/nine-new-nmp-appointed-1365181,,5,2021-01-14
2438,新一届官委议员名单出炉《联合早报》,,https://www.zaobao.com.sg/realtime/singapore/story20210114-1116328,,5,2021-01-14
2479,"New NMPs on how they hope to contribute (The Straits Times)",,https://www.straitstimes.com/singapore/politics/new-nmps-on-how-they-hope-to-contribute,,5,2021-01-23
